id;name;sample1;sample3;sample4;sample5;sample8;sample9;sample10;sample11;sample12
0;GridAVoltage: Data[0] / 10;2391;2388;2387;2410;2403;2409;2418;2399;2391
1;GridBVoltage: Data[1] / 10;2387;2385;2385;2405;2397;2411;2395;2405;2407
2;GridCVoltage: Data[2] / 10;2404;2413;2413;2430;2427;2430;2419;2425;2431
3;GridACurrent: read16BitSigned(Data[3]) / 10;10;11;11;10;10;10;106;10;31
4;GridBCurrent: read16BitSigned(Data[4]) / 10;12;13;13;12;12;12;17;93;26
5;GridCCurrent: read16BitSigned(Data[5]) / 10;12;12;12;11;11;11;17;11;16
6;GridAPower: read16BitSigned(Data[6]);90;110;105;43;39;40;2562;40;697
7;GridBPower: read16BitSigned(Data[7]);99;161;154;108;104;106;331;2226;572
8;GridCPower: read16BitSigned(Data[8]);146;169;170;123;112;114;343;106;307
9;GridPowerTotal: (inverterPower);335;440;429;274;255;260;3236;2372;1576
10;Vdc1: Data[10] / 10;0;0;0;0;0;0;4035;3955;4008
11;Vdc2: Data[11] / 10;0;0;0;0;0;0;0;0;0
12;Idc1: Data[12] / 10;0;0;0;0;0;0;82;27;92
13;Idc2: Data[13] / 10;0;0;0;0;0;0;0;0;0
14;PowerDc1: Data[14];0;0;0;0;0;0;3312;1074;3724
15;PowerDc2: Data[15];0;0;0;0;0;0;0;0;0
16;FreqacA: Data[16] / 100;5000;5003;5002;4999;4986;5002;4999;5000;5000
17;FreqacB: Data[17] / 100;5000;5003;5002;4999;4977;5002;4999;5000;5001
18;FreqacC: Data[18] / 100;5000;5003;5002;4999;4980;5002;4998;5000;5003
19;RunMode: Data[19];2;2;2;2;2;2;2;2;2
20;Unknown;0;0;0;0;0;0;0;0;0
21;Unknown;0;0;0;0;0;0;0;0;0
22;Unknown;0;0;0;0;0;0;0;0;0
23;EPSAVoltage: Data[23] / 10;0;0;0;0;0;0;0;0;0
24;EPSBVoltage: Data[24] / 10;0;0;0;0;0;0;0;0;0
25;EPSCVoltage: Data[25] / 10;0;0;0;0;0;0;0;0;0
26;EPSACurrent: read16BitSigned(Data[26]) / 10;0;0;0;0;0;0;0;0;0
27;EPSBCurrent: read16BitSigned(Data[27]) / 10;0;0;0;0;0;0;0;0;0
28;EPSCCurrent: read16BitSigned(Data[28]) / 10;0;0;0;0;0;0;0;0;0
29;EPSAPower: read16BitSigned(Data[29]);0;0;0;0;0;0;0;0;0
30;EPSBPower: read16BitSigned(Data[30]);0;0;0;0;0;0;0;0;0
31;EPSCPower: read16BitSigned(Data[31]);0;0;0;0;0;0;0;0;0
32;Unknown;0;0;0;0;0;0;0;0;0
33;Unknown;0;0;0;0;0;0;0;0;0
34;feedInPower: read32BitSigned(Data[34], Data[35]);0;0;0;0;0;0;661;0;474
35;feedInPower: read32BitSigned(Data[34], Data[35]);0;0;0;0;0;0;0;0;0
36;Unknown;0;0;0;0;0;0;0;0;0
37;Unknown;0;0;0;0;0;0;0;0;0
38;Unknown;0;0;0;0;0;0;0;0;0
39;Unknown;31500;31460;31460;31470;31470;31470;32490;31900;32710
40;Unknown;65436;65406;65406;65456;65456;65456;0;65136;640
41;BAT_Power: read16BitSigned(Data[41]);65221;65096;65096;65285;65285;65285;0;64229;2094
42;Unknown;3140;3136;3136;3136;3136;3136;3235;3181;3253
43;Unknown;65526;65522;65522;65528;65528;65528;0;65492;64
44;Unknown;65222;65097;65097;65286;65286;65286;0;64137;2081
45;Unknown;1;1;1;1;1;1;1;1;1
46;Unknown;42;42;42;42;42;42;46;46;46
47;load;335;440;429;274;255;260;2575;2372;1102
48;Unknown;256;256;256;256;256;256;256;256;256
49;Unknown;1045;6709;6924;7718;7943;7949;8240;9511;14888
50;Unknown;6165;6165;6165;6400;6400;6400;6412;6412;6412
51;Unknown;6146;6146;6146;6146;6146;6146;6146;6146;6146
52;Unknown;100;100;100;100;100;100;100;100;100
53;Unknown;0;0;0;0;0;0;0;0;0
54;inverterTemp;29;29;29;29;29;29;38;38;37
55;Unknown;0;0;0;0;0;0;0;0;0
56;Unknown;0;0;0;0;0;0;0;0;0
57;Unknown;0;0;0;0;0;0;0;0;0
58;Unknown;0;0;0;0;0;0;0;0;0
59;Unknown;0;0;0;0;0;0;0;0;0
60;Unknown;0;0;0;0;0;0;0;0;0
61;Unknown;0;0;0;0;0;0;0;0;0
62;Unknown;0;0;0;0;0;0;0;0;0
63;Unknown;0;0;0;0;0;0;0;0;0
64;Unknown;0;0;0;0;0;0;0;0;0
65;Unknown;0;0;0;0;0;0;0;0;0
66;Unknown;0;0;0;0;0;0;0;0;0
67;Unknown;0;0;0;0;0;0;0;0;0
68;Yield_Total: read32BitUnsigned(Data[68], Data[69]) / 10;55029;55031;55031;55037;55037;55037;55078;55080;55091
69;Yield_Total: read32BitUnsigned(Data[68], Data[69]) / 10;0;0;0;0;0;0;0;0;0
70;Yield_Today: Data[70] / 10;172;174;174;2;2;2;43;45;56
71;Unknown;158;158;158;158;158;158;158;158;158
72;Unknown;0;0;0;0;0;0;0;0;0
73;Unknown;0;0;0;0;0;0;0;0;0
74;Unknown;11408;11409;11409;11415;11415;11415;11426;11427;11428
75;Unknown;0;0;0;0;0;0;0;0;0
76;Unknown;13562;13562;13562;13562;13562;13562;13620;13620;13622
77;Unknown;0;0;0;0;0;0;0;0;0
78;totalChargedOut Data[78] / 10;45;46;46;1;1;1;12;13;14
79;totalChargedIn .Data[79] / 10;76;76;76;0;0;0;58;58;60
80;Unknown;56582;56582;56582;56582;56582;56582;56671;56673;56684
81;Unknown;0;0;0;0;0;0;0;0;0
82;totalProduction(daily);207;207;207;0;0;0;89;91;102
83;Unknown;0;0;0;0;0;0;0;0;0
84;Unknown;0;0;0;0;0;0;0;0;0
85;Unknown;0;0;0;0;0;0;0;0;0
86;FeedInEnergy: read32BitUnsigned(Data[86], Data[87]) / 100;56636;56636;56636;56636;56636;56636;56696;56696;56716
87;FeedInEnergy: read32BitUnsigned(Data[86], Data[87]) / 100;4;4;4;4;4;4;4;4;4
88;ConsumeEnergy: read32BitUnsigned(Data[88], Data[89]) / 100;55810;55810;55810;55830;55830;55830;55870;55870;55880
89;ConsumeEnergy: read32BitUnsigned(Data[88], Data[89]) / 100;1;1;1;1;1;1;1;1;1
90;totalGridOut .Data[91] * 65536 + .Data[90]) / 100;290;290;290;0;0;0;60;60;80
91;totalGridOut .Data[91] * 65536 + .Data[90]) / 100;0;0;0;0;0;0;0;0;0
92;totalGridIn  (.Data[93] * 65536 + .Data[92]) / 100;178;178;178;0;0;0;40;40;50
93;totalGridIn  (.Data[93] * 65536 + .Data[92]) / 100;0;0;0;0;0;0;0;0;0
94;Unknown;0;0;0;0;0;0;0;0;0
95;Unknown;0;0;0;0;0;0;0;0;0
96;Unknown;0;0;0;0;0;0;0;0;0
97;Unknown;0;0;0;0;0;0;0;0;0
98;Unknown;0;0;0;0;0;0;0;0;0
99;Unknown;0;0;0;0;0;0;0;0;0
100;Unknown;0;0;0;0;0;0;0;0;0
101;Unknown;0;0;0;0;0;0;0;0;0
102;Unknown;1;1;1;1;1;1;1;1;1
103;BatteryCapacity %: Data[103];64;62;62;56;56;56;100;100;97
104;Unknown;1;1;1;1;1;1;1;1;1
105;BatteryTemperature: read16BitSigned(Data[105]);27;27;27;27;27;27;28;28;28
106;batteryCap kWh.Data[106] / 10;59;57;57;51;51;51;92;92;90
107;Unknown;256;256;256;256;256;256;256;256;256
108;Unknown;3504;3504;3504;3504;3504;3504;3504;3504;3504
109;Unknown;2400;2400;2400;2400;2400;2400;2400;2400;2400
110;Unknown;222;222;222;222;222;222;0;0;66
111;BattMinSOC? %;300;300;300;300;300;300;300;300;300
112;Unknown;210;208;208;200;200;200;245;244;243
113;Unknown;194;192;192;186;186;186;219;218;217
114;Unknown;33;33;33;33;33;33;36;34;34
115;Unknown;33;33;33;33;33;33;34;33;34
116;Unknown;199;199;199;199;199;199;200;200;200
117;Unknown;1620;1620;1620;1620;1620;1620;1620;1620;1620
118;Unknown;778;778;778;778;778;778;778;778;778
119;Unknown;14135;14135;14135;14135;14135;14135;14135;14135;14135
120;Unknown;14135;14135;14135;14135;14135;14135;14135;14135;14135
121;Unknown;14135;14135;14135;14135;14135;14135;14135;14135;14135
122;Unknown;0;0;0;0;0;0;0;0;0
123;Unknown;0;0;0;0;0;0;0;0;0
124;Unknown;0;0;0;0;0;0;0;0;0
125;Unknown;3276;3273;3273;3274;3274;3274;3571;3366;3434
126;Unknown;3269;3265;3265;3266;3266;3266;3369;3303;3382
127;Unknown;63957;64108;64110;64788;64791;64791;6300;6330;6730
128;Unknown;38;38;38;38;38;38;39;39;39
129;Unknown;20564;20564;20564;20564;20564;20564;20564;20564;20564
130;Unknown;12339;12339;12339;12339;12339;12339;12339;12339;12339
131;Unknown;18753;18753;18753;18753;18753;18753;18753;18753;18753
132;Unknown;12597;12597;12597;12597;12597;12597;12597;12597;12597
133;Unknown;16691;16691;16691;16691;16691;16691;16691;16691;16691
134;Unknown;12612;12612;12612;12612;12612;12612;12612;12612;12612
135;Unknown;14137;14137;14137;14137;14137;14137;14137;14137;14137
136;Unknown;20564;20564;20564;20564;20564;20564;20564;20564;20564
137;Unknown;12339;12339;12339;12339;12339;12339;12339;12339;12339
138;Unknown;18754;18754;18754;18754;18754;18754;18754;18754;18754
